wallet,token_address,sol_value
2KH2bfwCmGDGcqNCDbcG4deqebA8KgN9eTfLvhUKUaMk,CP1hmqqiTVoXReZGA3EjX59D6tjpWogVTRhBsGewpump,10.0
75unxxHzqczTzQy7Ywqy1pE7LP7eWL9Eq7ndi1jBve3,SsKFgDPEqyzAM8nWPiiX7MGY7iNDTEX6DxRdxmkpump,11.0
E7Q7rydTxACkYmnvjwh9iHep75YWLvoPGrLJKfvGzwd3,BoAQaykj3LtkM2Brevc7cQcRAzpqcsP47nJ2rkyopump,16.13
Ew3j7a8k7GaGqZfp5nc8Wfza1Wx83PuVykTtQBF6j9ya,J6yQ25J8gqDYBPY4snd47PvGAnUxmuw1my5jFzDapump,15.0
1zGRuDZ7ActpEJLA8cHU4sgJhAyTJj6aXGa3CiJWjXW,GxdTh6udNstGmLLk9ztBb6bkrms7oLbrJp5yzUaVpump,6.0
Hj6F1TjevhQrKG2gXZ7DhvtonXH6kVqwjXQGa6RVt4EB,DQc6FTgu2HiB1PMUkHj8SATCtxsCeeMz5hiaqwk1pump,43.0
EFnZNS3k8qk659Ut6NAcVW5rh3CFNVpwjhttST3HWwY8,HMoUMwXmqQM7Yrfv2xFTKwQDqBKwRTJikFzxg4mepump,6.22
2KH2bfwCmGDGcqNCDbcG4deqebA8KgN9eTfLvhUKUaMk,GxFtJBi8kVrVFR9GWBz4PX45A82v3nLDuLpyJxEKpump,10.0
HRaY61kFrDbEcXnYRJRcL1pY7tRkaZDtiDArKiv7JaXt,FQ1tyso61AH1tzodyJfSwmzsD3GToybbRNoZxUBz21p8,31.74
4Pi54MzdCo1WJ7wFUbDXzXa65UhE6EwLcsQKdgWV8bGx,9EwutmiMiLHoH5hj5aCLMDJUdsLZVg926ZmDdr8Ppump,20.0
4DJSGDmi5bofmFDzU8E5jTNJ1K7MyFdJgN58A3b1cZQE,9uGHyPu3kC3vbxZRN5AkLfPWGUyLvzL4UKuUzoB16Ls9,25.74
HrUXK6nuhjU55ZBYehGjKFBBh1CM8sZSUbWENjCVssRC,U237C8hKyZYL42TEtTv6JGtdwDr3pZaQeeWMCVVpump,21.0
B7VP9ZypXpCsSkjD1r6zR8SGLZpb4Eji2ajfiy1tguhQ,kySWtEYaFkqjmu8NpkQZSXEwVPWv8xrNFSo5Pocpump,10.0
uy46ZfJtqWTSWC5CUqcRJW7SBATHNi6ewbFAGd5YsSo,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,8.31
