score,wallet,gmgn,pumpfun,maxtenminutes,winrate,traded_token,port_token,num_inside,laitren80,avg_roi,latestmonth_avg_pnl_latestmonth,pnl_latestmonth,threemonths_avg_pnl_latestmonth,pnl_threemonths,concatenated_inside
9,GFV44Afif8kGYMWCQgN6n1aEkKYyQcxxArUf67YbboN3,"<a href=https://gmgn.ai/sol/address/GFV44Afif8kGYMWCQgN6n1aEkKYyQcxxArUf67YbboN3 target=_blank"">🔎 </a>",0,9,21,22,19,1,2,12,2153,40912.0,2153,40912.0,[Cheyenne]
14,BreCNBNqMvFsnN4Qkh7Fved6C7q5FeKgG8kT981F3q1C,"<a href=https://gmgn.ai/sol/address/BreCNBNqMvFsnN4Qkh7Fved6C7q5FeKgG8kT981F3q1C target=_blank"">🔎 </a>",0,0,62,8,8,2,2,163,56991,455929.0,56991,455929.0,[ACT BUU]
9,B4dmPsP37CALmHaPGjqLZjWVk8Mve7HhK8cZ2uyhLWmP,"<a href=https://gmgn.ai/sol/address/B4dmPsP37CALmHaPGjqLZjWVk8Mve7HhK8cZ2uyhLWmP target=_blank"">🔎 </a>",32,8,29,141,74,2,15,17,2332,172591.0,2118,169430.0,[$URO $RIF]
11,Ffo4yXLemDduV2b2RMG9zHUiMgwiKK9LutBSU1oFJVpY,"<a href=https://gmgn.ai/sol/address/Ffo4yXLemDduV2b2RMG9zHUiMgwiKK9LutBSU1oFJVpY target=_blank"">🔎 </a>",7,3,27,27,22,1,4,31,3938,86635.0,3764,86562.0,[BOSSU]
11,5Q57izNSTzVaN8JCY1ajgE34KCzgUQrS8fR8XTiKaBWu,"<a href=https://gmgn.ai/sol/address/5Q57izNSTzVaN8JCY1ajgE34KCzgUQrS8fR8XTiKaBWu target=_blank"">🔎 </a>",3,11,26,26,19,1,1,-7,2821,53604.0,8681,182302.0,[GOAT]
13,5dZUzN9hjP5gNJhLH5NzoW14xJuCFYVds1MPXigk1QNt,"<a href=https://gmgn.ai/sol/address/5dZUzN9hjP5gNJhLH5NzoW14xJuCFYVds1MPXigk1QNt target=_blank"">🔎 </a>",4,26,35,46,34,3,7,28,14633,497537.0,14633,497537.0,[LUCE $RIF Ban]
13,2t3vqPnQYo9Mqzcc6k5t4nZGDNcZ4o3Ly2gNMZyPCfy7,"<a href=https://gmgn.ai/sol/address/2t3vqPnQYo9Mqzcc6k5t4nZGDNcZ4o3Ly2gNMZyPCfy7 target=_blank"">🔎 </a>",0,14,33,7,6,1,1,-15,12051,72304.0,12051,72304.0,[Pnut]
13,GTtCZLbWUe1efXYEfnreoPpHgRskezgzJUz8qdPmvsKa,"<a href=https://gmgn.ai/sol/address/GTtCZLbWUe1efXYEfnreoPpHgRskezgzJUz8qdPmvsKa target=_blank"">🔎 </a>",4,0,13,22,22,1,2,-26,6983,153620.0,6633,152562.0,[Ban]
13,BCquKNKmZ2uhngRFLdiS5px9XEdjiQCmQXD8M6Cd4xWP,"<a href=https://gmgn.ai/sol/address/BCquKNKmZ2uhngRFLdiS5px9XEdjiQCmQXD8M6Cd4xWP target=_blank"">🔎 </a>",0,15,23,20,17,2,3,352,14575,247773.0,14575,247773.0,[$RIF $URO]
13,CqPNRv7sVRTBCGFm2xV16AHQiwQQbAkGMxfQobufk9E4,"<a href=https://gmgn.ai/sol/address/CqPNRv7sVRTBCGFm2xV16AHQiwQQbAkGMxfQobufk9E4 target=_blank"">🔎 </a>",5,21,31,169,127,12,26,14,9601,1219288.0,10067,1338859.0,[Shoggoth LUCE GOAT dontdie $RIF flavia E=MC² Ban Pnut scihub 🟥🟩 BIO/ACC]
